Слово,Транскрипция
офигеть,ɐfʲɪɡʲetʲ
офис,ofʲɪs
офис-менеджер,ˌofʲɪs mʲenɛd͡ʐʐɨr
офисный,ofʲɪsnɨɪ̯
офит,ɐfʲit
офитовый,ɐfʲitəvɨɪ̯
офиура,ɐfʲɪurə
офицер,ɐfʲɪt͡sɛr
офицерик,ɐfʲɪt͡sɛrʲɪk
офицеришка,ɐfʲɪt͡sɛrʲɪʂkə
офицерский,ɐfʲɪt͡sɛrskʲɪɪ̯
офицерство,ɐfʲɪt͡sɛrstvə
офицерша,ɐfʲɪt͡sɛrʂə
офицерщина,ɐfʲɪt͡sɛrɕːɪnə
офицерьё,ɐfʲɪt͡sɨrʲjɵ
официал,ɐfʲɪt͡sɨaɫ
официальничанье,ɐfʲɪt͡sɨalʲnʲɪt͡ɕɪnʲɪ̯ə
официальничать,ɐfʲɪt͡sɨalʲnʲɪt͡ɕɪtʲ
официально,ɐfʲɪt͡sɨalʲnə
официальность,ɐfʲɪt͡sɨalʲnəsʲtʲ
официальный,ɐfʲɪt͡sɨalʲnɨɪ̯
официальщина,ɐfʲɪt͡sɨalʲɕːɪnə
официант,ɐfʲɪt͡sɨant
официантка,ɐfʲɪt͡sɨantkə
официантская,ɐfʲɪt͡sɨantskəɪ̯ə
официантский,ɐfʲɪt͡sɨantskʲɪɪ̯
официоз,ɐfʲɪt͡sɨos
официозно,ɐfʲɪt͡sɨoznə
официозность,ɐfʲɪt͡sɨoznəsʲtʲ
официозный,ɐfʲɪt͡sɨoznɨɪ̯
офлайн,ofɫaɪ̯n
офлайновый,ofɫaɪ̯nəvɨɪ̯
офлюсованный,ɐflʲʊsovənːɨɪ̯
офлюсовать,ɐflʲʊsɐvatʲ
офлюсоваться,ɐflʲʊsɐvat͡sːə
офлюсовывать,ɐflʲʊsovɨvətʲ
офлюсовываться,ɐflʲʊsovɨvət͡sə
офонареть,ɐfənɐrʲetʲ
оформитель,ɐfɐrmʲitʲɪlʲ
оформительница,ɐfɐrmʲitʲɪlʲnʲɪt͡sə
оформительский,ɐfɐrmʲitʲɪlʲskʲɪɪ̯
оформительство,ɐfɐrmʲitʲɪlʲstvə
оформить,ɐformʲɪtʲ
оформиться,ɐformʲɪt͡sə
оформление,ɐfɐrmlʲenʲɪɪ̯ə
оформленность,ɐformlʲɪnːəsʲtʲ
оформленный,ɐformlʲɪnːɨɪ̯
оформлять,ɐfɐrmlʲætʲ
оформляться,ɐfɐrmlʲat͡sːə
офорт,ɐfort
офортист,ɐfɐrtʲist
офортный,ɐfortnɨɪ̯
офранцуженный,ɐfrɐnt͡suʐɨnːɨɪ̯
офранцуживание,ɐfrɐnt͡suʐɨvənʲɪɪ̯ə
офранцуживать,ɐfrɐnt͡suʐɨvətʲ
офранцуживаться,ɐfrɐnt͡suʐɨvət͡sə
офранцузить,ɐfrɐnt͡suzʲɪtʲ
офранцузиться,ɐfrɐnt͡suzʲɪt͡sə
офсайд,ɐfsaɪ̯t
офсайдный,ɐfsaɪ̯dnɨɪ̯
офсет,ɐfsʲet
офсетный,ɐfsʲetnɨɪ̯
офсетчик,ɐfsʲet͡ɕːɪk
офтальмия,ɐftɐlʲmʲiɪ̯ə
офтальмография,ɐftəlʲmɐɡrafʲɪɪ̯ə
офтальмодинамометрия,ɐˌftalʲmədʲɪnəmɐmʲetrʲɪɪ̯ə
офтальмолог,ɐftɐlʲmoɫək
офтальмологический,ɐftəlʲməɫɐɡʲit͡ɕɪskʲɪɪ̯
офтальмология,ɐftəlʲmɐɫoɡʲɪɪ̯ə
офтальмометр,ɐftɐlʲmomʲɪtr
офтальмометрический,ɐˌftalʲməmʲɪtrʲit͡ɕɪskʲɪɪ̯
офтальмометрия,ɐftəlʲmɐmʲetrʲɪɪ̯ə
офтальмоневрология,ɐˌftalʲmənʲɪvrɐɫoɡʲɪɪ̯ə
офтальмопатия,ɐftəlʲmɐpatʲɪɪ̯ə
офтальмоплегия,ɐftəlʲməplʲɪɡʲiɪ̯ə
офтальмопроба,ɐftəlʲmɐprobə
офтальмореакция,ɐˌftalʲmərʲɪakt͡sɨɪ̯ə
офтальмоскоп,ɐftəlʲmɐskop
офтальмоскопический,ɐftəlʲməskɐpʲit͡ɕɪskʲɪɪ̯
офтальмоскопия,ɐftəlʲməskɐpʲiɪ̯ə
офтальмостат,ɐftəlʲmɐstat
офтальмотомия,ɐftəlʲmətɐmʲiɪ̯ə
офутерованный,ɐfʊtʲɪrovənːɨɪ̯
офутеровать,ɐfʊtʲɪrɐvatʲ
оффенбаховский,ɐfʲɪnbaxəfskʲɪɪ̯
оффшор,ɐfʂor
офшор,ɐfʂor
офшорный,ɐfʂornɨɪ̯
ох,ox
охабень,oxəbʲɪnʲ
охаверник,ɐxavʲɪrnʲɪk
охаверничать,ɐxavʲɪrnʲɪt͡ɕɪtʲ
охаживание,ɐxaʐɨvənʲɪɪ̯ə
охаживать,ɐxaʐɨvətʲ
охаживаться,ɐxaʐɨvət͡sə
охаивание,ɐxaɪvənʲɪɪ̯ə
охаивать,ɐxaɪvətʲ
охаиваться,ɐxaɪvət͡sə
охала,oxətʲ
охальник,ɐxalʲnʲɪk
охальница,ɐxalʲnʲɪt͡sə
охальничанье,ɐxalʲnʲɪt͡ɕɪnʲɪ̯ə
охальничать,ɐxalʲnʲɪt͡ɕɪtʲ
охально,ɐxalʲnə
охальный,ɐxalʲnɨɪ̯
охаметь,ɐxɐmʲetʲ
оханье,oxənʲɪ̯ə
охапка,ɐxapkə
охапочка,ɐxapət͡ɕkə
охарактеризованный,ɐxərəktʲɪrʲɪzovənːɨɪ̯
охарактеризовать,ɐxərəktʲɪrʲɪzɐvatʲ
охарактеризоваться,ɐxərəktʲɪrʲɪzɐvat͡sːə
охать,oxətʲ
охаянный,ɐxaɪ̯ɪnːɨɪ̯
охаять,ɐxaɪ̯ɪtʲ
охват,ɐxvat
охватить,ɐxvɐtʲitʲ
охватиться,ɐxvɐtʲit͡sːə
охватный,ɐxvatnɨɪ̯
охватывание,ɐxvatɨvənʲɪɪ̯ə
охватывать,ɐxvatɨvətʲ
охватываться,ɐxvatɨvət͡sə
охваченный,ɐxvat͡ɕɪnːɨɪ̯
охвостье,ɐxvosʲtʲɪ̯ə
охладевать,ɐxɫədʲɪvatʲ
охладелый,ɐxɫɐdʲeɫɨɪ̯
охладеть,ɐxɫɐdʲetʲ
охладитель,ɐxɫɐdʲitʲɪlʲ
охладительный,ɐxɫɐdʲitʲɪlʲnɨɪ̯
охладить,ɐxɫɐdʲitʲ
охладиться,ɐxɫɐdʲit͡sːə
охлаждать,ɐxɫɐʐdatʲ
охлаждаться,ɐxɫɐʐdat͡sːə
охлаждение,ɐxɫɐʐdʲenʲɪɪ̯ə
охлаждённый,ɐxɫɐʐdʲɵnːɨɪ̯
охламон,ɐxɫɐmon
охлестать,ɐxlʲɪstatʲ
охлестаться,ɐxlʲɪstat͡sːə
охлестнуть,ɐxlʲɪsnutʲ
охлестнуться,ɐxlʲɪsnut͡sːə
охлократический,ɐxɫəkrɐtʲit͡ɕɪskʲɪɪ̯
охлократия,ɐxɫɐkratʲɪɪ̯ə
охломон,ɐxɫɐmon
охлопанный,ɐxɫopənːɨɪ̯
охлопать,ɐxɫopətʲ
охлопок,ɐxɫopək
охлопывать,ɐxɫopɨvətʲ
охлопываться,ɐxɫopɨvət͡sə
охлопье,ɐxɫopʲɪ̯ə
охлупень,oxɫʊpʲɪnʲ
охлёстывать,ɐxlʲɵstɨvətʲ
охлёстываться,ɐxlʲɵstɨvət͡sə
охмеление,ɐxmʲɪlʲenʲɪɪ̯ə
охмелеть,ɐxmʲɪlʲetʲ
охмелить,ɐxmʲɪlʲitʲ
охмелять,ɐxmʲɪlʲætʲ
охмеляться,ɐxmʲɪlʲat͡sːə
охмелённый,ɐxmʲɪlʲɵnːɨɪ̯
охмурение,ɐxmʊrʲenʲɪɪ̯ə
охмурить,ɐxmʊrʲitʲ
охмурять,ɐxmʊrʲætʲ
охмуряться,ɐxmʊrʲat͡sːə
охмурёж,ɐxmʊrʲɵʂ
охмурённый,ɐxmʊrʲɵnːɨɪ̯
охнуть,oxnʊtʲ
охолаживать,ɐxɐɫaʐɨvətʲ
охолаживаться,ɐxɐɫaʐɨvət͡sə
охолащивание,ɐxɐɫaɕːɪvənʲɪɪ̯ə
охолащивать,ɐxɐɫaɕːɪvətʲ
охолащиваться,ɐxɐɫaɕːɪvət͡sə
охолоделый,ɐxəɫɐdʲeɫɨɪ̯
охолодеть,ɐxəɫɐdʲetʲ
охолодить,ɐxəɫɐdʲitʲ
охолодиться,ɐxəɫɐdʲit͡sːə
охолонуть,ɐxɐɫonʊtʲ
охолостить,ɐxəɫɐsʲtʲitʲ
охолощённый,ɐxəɫɐɕːɵnːɨɪ̯
охорашивать,ɐxɐraʂɨvətʲ
охорашиваться,ɐxɐraʂɨvət͡sə
охота,ɐxotə
охотбаза,ɐˌxodbazə
охотинспектор,ɐˌxotɨnspʲektər
охотинспекция,ɐˌxotɨnspʲekt͡sɨɪ̯ə
охотиться,ɐxotʲɪt͡sə
охотишка,ɐxotʲɪʂkə
охотка,ɐxotkə
охотливый,ɐxotlʲɪvɨɪ̯
охотнадзор,ɐˌxotnɐd͡zzor
охотник,ɐxotʲnʲɪk
охотница,ɐxotʲnʲɪt͡sə
охотницкий,ɐxotʲnʲɪt͡skʲɪɪ̯
охотничать,ɐxotʲnʲɪt͡ɕɪtʲ
охотничек,ɐxotʲnʲɪt͡ɕɪk
охотничий,ɐxotʲnʲɪt͡ɕɪɪ̯
охотничье-промысловый,ɐˌxotʲnʲɪt͡ɕɪ̯ə prəmɨsɫovɨɪ̯
охотно,ɐxotnə
охотнорядец,ɐxətnɐrʲædʲɪt͡s
охотнорядский,ɐxətnɐrʲat͡skʲɪɪ̯
охотный,ɐxotnɨɪ̯
охотовед,ɐˌxotɐvʲet
охотоведение,ɐˌxotɐvʲedʲɪnʲɪɪ̯ə
охотоведческий,ɐˌxotɐvʲet͡ɕːɪskʲɪɪ̯
охотоморский,ɐxətɐmorskʲɪɪ̯
охотпродукция,ɐˌxotprɐdukt͡sɨɪ̯ə
охотский,ɐxot͡skʲɪɪ̯
охотхозяйство,ɐˌxotxɐzʲæɪ̯stvə
охотящийся,ɐxotʲɪɕːɪɪ̯sʲə
охохонюшки,oxoxonʲʊʂkʲɪ
охохохоньки,oxoxoxənʲkʲɪ
охохошеньки,oxoxoʂɨnʲkʲɪ
охочий,ɐxot͡ɕɪɪ̯
охра,oxrə
охра-мутация,ˌoxrə mʊtat͡sɨɪ̯ə
охрана,ɐxranə
охранение,ɐxrɐnʲenʲɪɪ̯ə
охранитель,ɐxrɐnʲitʲɪlʲ
охранительница,ɐxrɐnʲitʲɪlʲnʲɪt͡sə
охранительный,ɐxrɐnʲitʲɪlʲnɨɪ̯
охранить,ɐxrɐnʲitʲ
охранка,ɐxrankə
охранник,ɐxranʲːɪk
охранница,ɐxranʲːɪt͡sə
охранный,ɐxranːɨɪ̯
охраноспособность,ɐˌxranəspɐsobnəsʲtʲ
охраняемый,ɐxrɐnʲæɪ̯ɪmɨɪ̯
охранять,ɐxrɐnʲætʲ
охраняться,ɐxrɐnʲat͡sːə
охранённый,ɐxrɐnʲɵnːɨɪ̯
охренный,oxrʲɪnːɨɪ̯
охриплость,ɐxrʲipɫəsʲtʲ
охриплый,ɐxrʲipɫɨɪ̯
охрипнуть,ɐxrʲipnʊtʲ
охрипший,ɐxrʲipʂɨɪ̯
охристый,oxrʲɪstɨɪ̯
охрить,oxrʲɪtʲ
охриться,oxrʲɪt͡sə
охровый,oxrəvɨɪ̯
охрометь,ɐxrɐmʲetʲ
охрянка,ɐxrʲankə
охряной,ɐxrʲɪnoɪ̯
охряный,ɐxrʲanɨɪ̯
охрящий,oxrʲɪɕːɪɪ̯
охрящийся,oxrʲɪɕːɪɪ̯sʲə
охти,oxtʲɪ
охтинка,oxtʲɪnkə
охуеть,ɐxʊjetʲ
охуждать,ɐxʊʐdatʲ
охуждение,ɐxʊʐdʲenʲɪɪ̯ə
охулить,ɐxʊlʲitʲ
охулка,ɐxuɫkə
охульник,ɐxulʲnʲɪk
охульный,ɐxulʲnɨɪ̯
охулённый,ɐxʊlʲɵnːɨɪ̯
оцарапанный,ɐt͡sɐrapənːɨɪ̯
оцарапать,ɐt͡sɐrapətʲ
оцарапаться,ɐt͡sɐrapət͡sə
оцарапнутый,ɐt͡sɐrapnʊtɨɪ̯
оцарапнуть,ɐt͡sɐrapnʊtʲ
оцарапнуться,ɐt͡sɐrapnʊt͡sə
оцарапывать,ɐt͡sɐrapɨvətʲ
оцарапываться,ɐt͡sɐrapɨvət͡sə
оцветить,ɐt͡svʲɪtʲitʲ
оцветиться,ɐt͡svʲɪtʲit͡sːə
оцедить,ɐt͡sɨdʲitʲ
оцеженный,ɐt͡sɛʐɨnːɨɪ̯
оцеживать,ɐt͡sɛʐɨvətʲ
оцеживаться,ɐt͡sɛʐɨvət͡sə
оцелот,ɐt͡sɨɫot
оцениваемость,ɐt͡sɛnʲɪvəɪ̯ɪməsʲtʲ
оценивание,ɐt͡sɛnʲɪvənʲɪɪ̯ə
оценивать,ɐt͡sɛnʲɪvətʲ
оцениваться,ɐt͡sɛnʲɪvət͡sə
оценивающе,ɐt͡sɛnʲɪvəjʉɕːɪ
оценивающий,ɐt͡sɛnʲɪvəjʉɕːɪɪ̯
оценивающийся,ɐt͡sɛnʲɪvəjʉɕːɪɪ̯sʲə
оценить,ɐt͡sɨnʲitʲ
оценка,ɐt͡sɛnkə
оценочный,ɐt͡sɛnət͡ɕnɨɪ̯
оценщик,ɐt͡sɛnʲɕːɪk
оценщица,ɐt͡sɛnʲɕːɪt͡sə
оценённый,ɐt͡sɨnʲɵnːɨɪ̯
оцеп,ot͡sɨp
оцепенело,ɐt͡sɨpʲɪnʲeɫə
оцепенелость,ɐt͡sɨpʲɪnʲeɫəsʲtʲ
оцепенелый,ɐt͡sɨpʲɪnʲeɫɨɪ̯
оцепенение,ɐt͡sɨpʲɪnʲenʲɪɪ̯ə
оцепенеть,ɐt͡sɨpʲɪnʲetʲ
оцепенить,ɐt͡sɨpʲɪnʲitʲ
оцепенять,ɐt͡sɨpʲɪnʲætʲ
оцепить,ɐt͡sɨpʲitʲ
оцепление,ɐt͡sɨplʲenʲɪɪ̯ə
оцепленный,ɐt͡sɛplʲɪnːɨɪ̯
оцеплять,ɐt͡sɨplʲætʲ
оцепляться,ɐt͡sɨplʲat͡sːə
оцет,ot͡sɨt
оцилиндрованный,ɐt͡sɨlʲɪndrovənːɨɪ̯
оцилиндровка,ɐt͡sɨlʲɪndrofkə
оцинкованный,ɐt͡sɨnkovənːɨɪ̯
оцинковать,ɐt͡sɨnkɐvatʲ
оцинковка,ɐt͡sɨnkofkə
оцинковочный,ɐt͡sɨnkovət͡ɕnɨɪ̯
оцинковщик,ɐt͡sɨnkofɕːɪk
оцинковывание,ɐt͡sɨnkovɨvənʲɪɪ̯ə
оцинковывать,ɐt͡sɨnkovɨvətʲ
оцинковываться,ɐt͡sɨnkovɨvət͡sə
оцифрованный,ɐt͡sɨfrovənːɨɪ̯
оцифровать,ɐt͡sɨfrɐvatʲ
оцифровка,ɐt͡sɨfrofkə
оцифровывание,ɐt͡sɨfrovɨvənʲɪɪ̯ə
оцифровывать,ɐt͡sɨfrovɨvətʲ
оцифровываться,ɐt͡sɨfrovɨvət͡sə
очаг,ɐt͡ɕak
очаговость,ɐt͡ɕɪɡovəsʲtʲ
очаговый,ɐt͡ɕɪɡovɨɪ̯
очажный,ɐt͡ɕaʐnɨɪ̯
очажок,ɐt͡ɕɪʐok
очаковский,ɐt͡ɕakəfskʲɪɪ̯
очанка,ɐt͡ɕankə
очапаться,ɐt͡ɕapət͡sə
очапываться,ɐt͡ɕapɨvət͡sə
очарование,ɐt͡ɕɪrɐvanʲɪɪ̯ə
очарованно,ɐt͡ɕɪrovənːə
очарованный,ɐt͡ɕɪrovənːɨɪ̯
очарователь,ɐt͡ɕɪrɐvatʲɪlʲ
очаровательница,ɐt͡ɕɪrɐvatʲɪlʲnʲɪt͡sə
очаровательно,ɐt͡ɕɪrɐvatʲɪlʲnə
очаровательность,ɐt͡ɕɪrɐvatʲɪlʲnəsʲtʲ
очаровательный,ɐt͡ɕɪrɐvatʲɪlʲnɨɪ̯
очаровать,ɐt͡ɕɪrɐvatʲ
очароваться,ɐt͡ɕɪrɐvat͡sːə
очаровашечка,ɐt͡ɕɪrɐvaʂɨt͡ɕkə
очаровашка,ɐt͡ɕɪrɐvaʂkə
очаровывать,ɐt͡ɕɪrovɨvətʲ
очаровываться,ɐt͡ɕɪrovɨvət͡sə
очевидец,ɐt͡ɕɪvʲidʲɪt͡s
очевидица,ɐt͡ɕɪvʲidʲɪt͡sə
очевидно,ɐt͡ɕɪvʲidnə
очевидность,ɐt͡ɕɪvʲidnəsʲtʲ
очевидный,ɐt͡ɕɪvʲidnɨɪ̯
очеловечение,ɐt͡ɕɪɫɐvʲet͡ɕɪnʲɪɪ̯ə
очеловеченный,ɐt͡ɕɪɫɐvʲet͡ɕɪnːɨɪ̯
очеловечивание,ɐt͡ɕɪɫɐvʲet͡ɕɪvənʲɪɪ̯ə
очеловечивать,ɐt͡ɕɪɫɐvʲet͡ɕɪvətʲ
очеловечиваться,ɐt͡ɕɪɫɐvʲet͡ɕɪvət͡sə
очеловечить,ɐt͡ɕɪɫɐvʲet͡ɕɪtʲ
очеловечиться,ɐt͡ɕɪɫɐvʲet͡ɕɪt͡sə
очелье,ɐt͡ɕelʲɪ̯ə
оченно,ot͡ɕɪnːə
очень,ot͡ɕɪnʲ
очервивевший,ɐt͡ɕɪrvʲivʲɪfʂɨɪ̯
очервиветь,ɐt͡ɕɪrvʲivʲɪtʲ
очередник,ɐt͡ɕɪrʲɪdʲnʲik
очередница,ɐt͡ɕɪrʲɪdʲnʲit͡sə
очередной,ɐt͡ɕɪrʲɪdnoɪ̯
очередность,ɐt͡ɕɪrʲɵdnəsʲtʲ
очередь,ot͡ɕɪrʲɪtʲ
очерет,ɐt͡ɕɪrʲet
очеретный,ɐt͡ɕɪrʲetnɨɪ̯
очеретовый,ɐt͡ɕɪrʲetəvɨɪ̯
очеретяный,ɐt͡ɕɪrʲɪtʲanɨɪ̯
очерк,ot͡ɕɪrk
очеркист,ɐt͡ɕɪrkʲist
очеркистика,ɐt͡ɕɪrkʲisʲtʲɪkə
очеркистка,ɐt͡ɕɪrkʲistkə
очеркистский,ɐt͡ɕɪrkʲisːkʲɪɪ̯
очеркнуть,ɐt͡ɕɪrknutʲ
очерковость,ɐt͡ɕɪrkovəsʲtʲ
очерковый,ɐt͡ɕɪrkovɨɪ̯
очернение,ɐt͡ɕɪrnʲenʲɪɪ̯ə
очернитель,ɐt͡ɕɪrnʲitʲɪlʲ
очернительский,ɐt͡ɕɪrnʲitʲɪlʲskʲɪɪ̯
очернительство,ɐt͡ɕɪrnʲitʲɪlʲstvə
очернить,ɐt͡ɕɪrnʲitʲ
очернять,ɐt͡ɕɪrnʲætʲ
очерняться,ɐt͡ɕɪrnʲat͡sːə
очернённый,ɐt͡ɕɪrnʲɵnːɨɪ̯
очерствелость,ɐt͡ɕɪrstvʲeɫəsʲtʲ
очерствелый,ɐt͡ɕɪrstvʲeɫɨɪ̯
очерствение,ɐt͡ɕɪrstvʲenʲɪɪ̯ə
очерстветь,ɐt͡ɕɪrstvʲetʲ
очерствить,ɐt͡ɕɪrstvʲitʲ
очерствиться,ɐt͡ɕɪrstvʲit͡sːə
очерствлять,ɐt͡ɕɪrstvlʲætʲ
очерствляться,ɐt͡ɕɪrstvlʲat͡sːə
очерствлённый,ɐt͡ɕɪrstvlʲɵnːɨɪ̯
очертание,ɐt͡ɕɪrtanʲɪɪ̯ə
очертания,ɐt͡ɕɪrtanʲɪɪ̯ə
очертенеть,ɐt͡ɕɪrtʲɪnʲetʲ
очертеть,ɐt͡ɕɪrtʲetʲ
очертиться,ɐt͡ɕɪrtʲit͡sːə
очерченный,ɐt͡ɕert͡ɕɪnːɨɪ̯
очерчивание,ɐt͡ɕert͡ɕɪvənʲɪɪ̯ə
очерчивать,ɐt͡ɕert͡ɕɪvətʲ
очерчиваться,ɐt͡ɕert͡ɕɪvət͡sə
очерёдность,ɐt͡ɕɪrʲɵdnəsʲtʲ
очесать,ɐt͡ɕɪsatʲ
очечник,ɐt͡ɕeʂnʲɪk
очечный,ɐt͡ɕeʂnɨɪ̯
очешник,ɐt͡ɕeʂnʲɪk
очиненный,ɐt͡ɕinʲɪnːɨɪ̯
очинивать,ɐt͡ɕinʲɪvətʲ
очиниваться,ɐt͡ɕinʲɪvət͡sə
очинить,ɐt͡ɕɪnʲitʲ
очиниться,ɐt͡ɕɪnʲit͡sːə
очинка,ɐt͡ɕinkə
очинять,ɐt͡ɕɪnʲætʲ
очиняться,ɐt͡ɕɪnʲat͡sːə
очипок,ɐt͡ɕipək
очиститель,ɐt͡ɕɪsʲtʲitʲɪlʲ
очистительный,ɐt͡ɕɪsʲtʲitʲɪlʲnɨɪ̯
очистить,ɐt͡ɕisʲtʲɪtʲ
очиститься,ɐt͡ɕisʲtʲɪt͡sə
очистка,ɐt͡ɕistkə
очистки,ɐt͡ɕistkə
очистной,ɐt͡ɕɪsnoɪ̯
очистный,ɐt͡ɕisnɨɪ̯
очиток,ɐt͡ɕitək
очищать,ɐt͡ɕɪɕːætʲ
очищаться,ɐt͡ɕɪɕːat͡sːə
очищение,ɐt͡ɕɪɕːenʲɪɪ̯ə
очищенный,ɐt͡ɕiɕːɪnːɨɪ̯
очкарик,ɐt͡ɕkarʲɪk
очкарь,ɐt͡ɕkarʲ
очкастый,ɐt͡ɕkastɨɪ̯
очкатый,ɐt͡ɕkatɨɪ̯
очки,ɐt͡ɕkʲi
очко,ɐt͡ɕko
очкование,ɐt͡ɕkɐvanʲɪɪ̯ə
очкованный,ɐt͡ɕkovənːɨɪ̯
очковать,ɐt͡ɕkɐvatʲ
очковаться,ɐt͡ɕkɐvat͡sːə
очковтиратель,ɐt͡ɕkəftʲɪratʲɪlʲ
очковтирательница,ɐt͡ɕkəftʲɪratʲɪlʲnʲɪt͡sə
очковтирательский,ɐt͡ɕkəftʲɪratʲɪlʲskʲɪɪ̯
очковтирательство,ɐt͡ɕkəftʲɪratʲɪlʲstvə
очковый,ɐt͡ɕkovɨɪ̯
очкур,ɐt͡ɕkur
очник,ot͡ɕnʲɪk
очнуться,ɐt͡ɕnut͡sːə
очный,ot͡ɕnɨɪ̯
очочки,ɐt͡ɕɵt͡ɕkʲɪ
очувствление,ɐt͡ɕʊstvlʲenʲɪɪ̯ə
очувствоваться,ɐt͡ɕustvəvət͡sə
очугунеть,ɐt͡ɕʊɡʊnʲetʲ
очумело,ɐt͡ɕʉmʲeɫə
очумелый,ɐt͡ɕʉmʲeɫɨɪ̯
очуметь,ɐt͡ɕʉmʲetʲ
очутиться,ɐt͡ɕʉtʲit͡sːə
очухаться,ɐt͡ɕuxət͡sə
очухиваться,ɐt͡ɕʉxʲɪvət͡sə
очёркивать,ɐt͡ɕɵrkʲɪvətʲ
очёркиваться,ɐt͡ɕɵrkʲɪvət͡sə
очёркнутый,ɐt͡ɕɵrknʊtɨɪ̯
очёс,ɐt͡ɕɵs
очёсанный,ɐt͡ɕɵsənːɨɪ̯
очёска,ɐt͡ɕɵskə
очёски,ɐt͡ɕɵskə
очёсок,ɐt͡ɕɵsək
очёсочный,ɐt͡ɕɵsət͡ɕnɨɪ̯
очёсывание,ɐt͡ɕɵsɨvənʲɪɪ̯ə
очёсывать,ɐt͡ɕɵsɨvətʲ
очёсываться,ɐt͡ɕɵsɨvət͡sə
ошалевать,ɐʂəlʲɪvatʲ
ошалело,ɐʂɐlʲeɫə
ошалелость,ɐʂɐlʲeɫəsʲtʲ
ошалелый,ɐʂɐlʲeɫɨɪ̯
ошалеть,ɐʂɐlʲetʲ
ошарашенно,ɐʂɐraʂɨnːə
ошарашенный,ɐʂɐraʂɨnːɨɪ̯
ошарашивать,ɐʂɐraʂɨvətʲ
ошарашиваться,ɐʂɐraʂɨvət͡sə
ошарашить,ɐʂɐraʂɨtʲ
ошарпать,ɐʂarpətʲ
ошва,oʂvə
ошвартованный,ɐʂvɐrtovənːɨɪ̯
ошвартовать,ɐʂvərtɐvatʲ
ошвартоваться,ɐʂvərtɐvat͡sːə
ошвартовить,ɐʂvɐrtovʲɪtʲ
ошвартовленный,ɐʂvɐrtovlʲɪnːɨɪ̯
ошвартовывать,ɐʂvɐrtovɨvətʲ
ошвартовываться,ɐʂvɐrtovɨvət͡sə
ошеек,ɐʂɛɪ̯ɪk
ошейник,ɐʂɛɪ̯nʲɪk
ошейниковый,ɐʂɛɪ̯nʲɪkəvɨɪ̯
ошейничек,ɐʂɛɪ̯nʲɪt͡ɕɪk
ошеломительно,ɐʂɨɫɐmʲitʲɪlʲnə
ошеломительность,ɐʂɨɫɐmʲitʲɪlʲnəsʲtʲ
ошеломительный,ɐʂɨɫɐmʲitʲɪlʲnɨɪ̯
ошеломить,ɐʂɨɫɐmʲitʲ
ошеломление,ɐʂɨɫɐmlʲenʲɪɪ̯ə
ошеломленно,ɐʂɨɫɐmlʲɵnːə
ошеломлять,ɐʂɨɫɐmlʲætʲ
ошеломляться,ɐʂɨɫɐmlʲat͡sːə
ошеломляюще,ɐʂɨɫɐmlʲæɪ̯ʊɕːɪ
ошеломляющий,ɐʂɨɫɐmlʲæɪ̯ʊɕːɪɪ̯
ошеломляющийся,ɐʂɨɫɐmlʲæɪ̯ʊɕːɪɪ̯sʲə
ошеломлённо,ɐʂɨɫɐmlʲɵnːə
ошеломлённость,ɐʂɨɫɐmlʲɵnːəsʲtʲ
ошеломлённый,ɐʂɨɫɐmlʲɵnːɨɪ̯
ошелудиветь,ɐʂɨɫʊdʲivʲɪtʲ
ошелушить,ɐʂɨɫʊʂɨtʲ
ошелушённый,ɐʂɨɫʊʂonːɨɪ̯
ошельмование,ɐʂɨlʲmɐvanʲɪɪ̯ə
ошельмованный,ɐʂɨlʲmovənːɨɪ̯
ошельмовать,ɐʂɨlʲmɐvatʲ
ошельмовывать,ɐʂɨlʲmovɨvətʲ
ошельмовываться,ɐʂɨlʲmovɨvət͡sə
ошепелявевший,ɐʂɨpʲɪlʲævʲɪfʂɨɪ̯
ошепеляветь,ɐʂɨpʲɪlʲævʲɪtʲ
ошибаться,ɐʂɨbat͡sːə
ошибиться,ɐʂɨbʲit͡sːə
ошибка,ɐʂɨpkə
ошибочка,ɐʂɨbət͡ɕkə
ошибочно,ɐʂɨbət͡ɕnə
ошибочность,ɐʂɨbət͡ɕnəsʲtʲ
ошибочный,ɐʂɨbət͡ɕnɨɪ̯
ошиваться,ɐʂɨvat͡sːə
ошизеть,ɐʂɨzʲetʲ
ошиканный,ɐʂɨkənːɨɪ̯
ошикать,ɐʂɨkətʲ
ошикивать,ɐʂɨkʲɪvətʲ
ошикиваться,ɐʂɨkʲɪvət͡sə
ошинить,ɐʂɨnʲɪtʲ
ошиновать,ɐʂɨnɐvatʲ
ошиновка,ɐʂɨnofkə
ошиновывать,ɐʂɨnovɨvətʲ
ошиновываться,ɐʂɨnovɨvət͡sə
ошкуй,ɐʂkuɪ̯
ошкуренный,ɐʂkurʲɪnːɨɪ̯
ошкуривание,ɐʂkurʲɪvənʲɪɪ̯ə
ошкуривать,ɐʂkurʲɪvətʲ
ошкуриваться,ɐʂkurʲɪvət͡sə
ошкурить,ɐʂkurʲɪtʲ
ошкуриться,ɐʂkʊrʲit͡sːə
ошлакованный,ɐʂɫɐkovənːɨɪ̯
ошлаковать,ɐʂɫəkɐvatʲ
ошлаковаться,ɐʂɫəkɐvat͡sːə
